Questions,Answer
Dashboard Name?,
In which app dashboard to be create ?,
What is main use of this dashboard ?,
Where to be create this Dashboard ? Existing or new app?,
what kind of mood do you prefer? Dark or light mode?,
Where to be create this Dashboard ? Classic or Studio Dashboard?,
What are the Panel do you want ?,
What kind of filters you want to filter the data?,
Which data i take to provide graph in dashboard?,
